0x00000000,0x0000
0x00000001,0x0001
0x00000002,0x0002
0x00000003,0x0003
0x00000004,0x0004
0x00000005,0x0005
0x00000006,0x0006
0x00000007,0x0007
0x00000008,0x0008
0x00000009,0x0009
0x0000000A,0x000A
0x0000000B,0x000B
0x0000000C,0x000C
0x0000000D,0x000D
0x0000000E,0x000E
0x0000000F,0x000F
0x00000010,0x0010
0x00000011,0x0011
0x00000012,0x0012
0x00000013,0x0013
0x00000014,0x0014
0x00000015,0x0015
0x00000016,0x0016
0x00000017,0x0017
0x00000018,0x0018
0x00000019,0x0019
0x0000001A,0x001A
0x0000001B,0x001B
0x0000001C,0x001C
0x0000001D,0x001D
0x0000001E,0x001E
0x0000001F,0x001F
0x00000020,0x0020
0x00000021,0x0021
0x00000022,0x0022
0x00000023,0x0023
0x00000024,0x0024
0x00000025,0x0025
0x00000026,0x0026
0x00000027,0x0027
0x00000028,0x0028
0x00000029,0x0029
0x0000002A,0x002A
0x0000002B,0x002B
0x0000002C,0x002C
0x0000002D,0x002D
0x0000002E,0x002E
0x0000002F,0x002F
0x00000030,0x0030
0x00000031,0x0031
0x00000032,0x0032
0x00000033,0x0033
0x00000034,0x0034
0x00000035,0x0035
0x00000036,0x0036
0x00000037,0x0037
0x00000038,0x0038
0x00000039,0x0039
0x0000003A,0x003A
0x0000003B,0x003B
0x0000003C,0x003C
0x0000003D,0x003D
0x0000003E,0x003E
0x0000003F,0x003F
0x00000040,0x0040
0x00000041,0x0041
0x00000042,0x0042
0x00000043,0x0043
0x00000044,0x0044
0x00000045,0x0045
0x00000046,0x0046
0x00000047,0x0047
0x00000048,0x0048
0x00000049,0x0049
0x0000004A,0x004A
0x0000004B,0x004B
0x0000004C,0x004C
0x0000004D,0x004D
0x0000004E,0x004E
0x0000004F,0x004F
0x00000050,0x0050
0x00000051,0x0051
0x00000052,0x0052
0x00000053,0x0053
0x00000054,0x0054
0x00000055,0x0055
0x00000056,0x0056
0x00000057,0x0057
0x00000058,0x0058
0x00000059,0x0059
0x0000005A,0x005A
0x0000005B,0x005B
0x0000005C,0x005C
0x0000005D,0x005D
0x0000005E,0x005E
0x0000005F,0x005F
0x00000060,0x0060
0x00000061,0x0061
0x00000062,0x0062
0x00000063,0x0063
0x00000064,0x0064
0x00000065,0x0065
0x00000066,0x0066
0x00000067,0x0067
0x00000068,0x0068
0x00000069,0x0069
0x0000006A,0x006A
0x0000006B,0x006B
0x0000006C,0x006C
0x0000006D,0x006D
0x0000006E,0x006E
0x0000006F,0x006F
0x00000070,0x0070
0x00000071,0x0071
0x00000072,0x0072
0x00000073,0x0073
0x00000074,0x0074
0x00000075,0x0075
0x00000076,0x0076
0x00000077,0x0077
0x00000078,0x0078
0x00000079,0x0079
0x0000007A,0x007A
0x0000007B,0x007B
0x0000007C,0x007C
0x0000007D,0x007D
0x0000007E,0x007E
0x0000007F,0x007F
0x00000080,0x0080
0x00000081,0x0081
0x00000082,0x0082
0x00000083,0x0083
0x00000084,0x0084
0x00000085,0x0085
0x00000086,0x0086
0x00000087,0x0087
0x00000088,0x0088
0x00000089,0x0089
0x0000008A,0x008A
0x0000008B,0x008B
0x0000008C,0x008C
0x0000008D,0x008D
0x0000008E,0x008E
0x0000008F,0x008F
0x00000090,0x0090
0x00000091,0x0091
0x00000092,0x0092
0x00000093,0x0093
0x00000094,0x0094
0x00000095,0x0095
0x00000096,0x0096
0x00000097,0x0097
0x00000098,0x0098
0x00000099,0x0099
0x0000009A,0x009A
0x0000009B,0x009B
0x0000009C,0x009C
0x0000009D,0x009D
0x0000009E,0x009E
0x0000009F,0x009F
0x000000A0,0x00A0
0x000000A1,0x00A1
0x000000A2,0x00A2
0x000000A3,0x00A3
0x000000A4,0x00A4
0x000000A5,0x00A5
0x000000A6,0x00A6
0x000000A7,0x00A7
0x000000A8,0x00A8
0x000000A9,0x00A9
0x000000AA,0x00AA
0x000000AB,0x00AB
0x000000AC,0x00AC
0x000000AD,0x00AD
0x000000AE,0x00AE
0x000000AF,0x00AF
0x000000B0,0x00B0
0x000000B1,0x00B1
0x000000B2,0x00B2
0x000000B3,0x00B3
0x000000B4,0x00B4
0x000000B5,0x00B5
0x000000B6,0x00B6
0x000000B7,0x00B7
0x000000B8,0x00B8
0x000000B9,0x00B9
0x000000BA,0x00BA
0x000000BB,0x00BB
0x000000BC,0x00BC
0x000000BD,0x00BD
0x000000BE,0x00BE
0x000000BF,0x00BF
0x000000C0,0x00C0
0x000000C1,0x00C1
0x000000C2,0x00C2
0x000000C3,0x00C3
0x000000C4,0x00C4
0x000000C5,0x00C5
0x000000C6,0x00C6
0x000000C7,0x00C7
0x000000C8,0x00C8
0x000000C9,0x00C9
0x000000CA,0x00CA
0x000000CB,0x00CB
0x000000CC,0x00CC
0x000000CD,0x00CD
0x000000CE,0x00CE
0x000000CF,0x00CF
0x000000D0,0x00D0
0x000000D1,0x00D1
0x000000D2,0x00D2
0x000000D3,0x00D3
0x000000D4,0x00D4
0x000000D5,0x00D5 objects\weapons\grenade\frag_grenade\frag_grenade
0x000000D6,0x00D6 frag_grenade
0x000000D7,0x00D7
0x000000D8,0x00D8 objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000D9,0x00D9 plasma_grenade
0x000000DA,0x00DA
0x000000DB,0x00DB objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000DC,0x00DC claymore_grenade
0x000000DD,0x00DD
0x000000DE,0x00DE objects\weapons\grenade\firebomb_grenade\firebomb_grenade
0x000000DF,0x00DF firebomb_grenade
0x000000E0,0x00E0
0x000000E1,0x00E1
0x000000E2,0x00E2
0x000000E3,0x00E3
0x000000E4,0x00E4
0x000000E5,0x00E5
0x000000E6,0x00E6
0x000000E7,0x00E7
0x000000E8,0x00E8
0x000000E9,0x00E9
0x000000EA,0x00EA
0x000000EB,0x00EB
0x000000EC,0x00EC
0x000000ED,0x00ED
0x000000EE,0x00EE
0x000000EF,0x00EF
0x000000F0,0x00F0
0x000000F1,0x00F1
0x000000F2,0x00F2
0x000000F3,0x00F3
0x000000F4,0x00F4
0x000000F5,0x00F5
0x000000F6,0x00F6
0x000000F7,0x00F7
0x000000F8,0x00F8
0x000000F9,0x00F9
0x000000FA,0x00FA
0x000000FB,0x00FB
0x000000FC,0x00FC
0x000000FD,0x00FD
0x000000FE,0x00FE
0x000000FF,0x00FF
0x00000100,0x0100
0x00000101,0x0101
0x00000102,0x0102
0x00000103,0x0103
0x00000104,0x0104
0x00000105,0x0105
0x00000106,0x0106
0x00000107,0x0107
0x00000108,0x0108 fp
0x00000109,0x0109 fp_body
0x0000010A,0x010A objects\characters\masterchief\mp_masterchief\mp_masterchief
0x0000010B,0x010B
0x0000010C,0x010C
0x0000010D,0x010D fp
0x0000010E,0x010E fp_body
0x0000010F,0x010F objects\characters\elite\mp_elite\mp_elite
0x00000110,0x0110 objects\characters\masterchief\mp_masterchief\mp_masterchief
0x00000111,0x0111 objects\characters\elite\mp_elite\mp_elite
0x00000112,0x0112 objects\characters\masterchief\mp_masterchief\mp_masterchief
0x00000113,0x0113 objects\characters\elite\mp_elite\mp_elite
0x00000114,0x0114 objects\characters\masterchief\mp_masterchief\mp_masterchief
0x00000115,0x0115 objects\characters\elite\mp_elite\mp_elite
0x00000116,0x0116 objects\characters\spartan_female\mp_spartan_female\mp_spartan_female
0x00000117,0x0117 objects\characters\spartan_female\mp_spartan_female\mp_spartan_female
0x00000118,0x0118 objects\characters\spartan_female\mp_spartan_female\mp_spartan_female
0x00000119,0x0119 objects\characters\spartan_female\mp_spartan_female\mp_spartan_female
0x0000011A,0x011A
0x0000011B,0x011B
0x0000011C,0x011C
0x0000011D,0x011D
0x0000011E,0x011E
